value,Units,Periods
0.0,GAS_2,Wed-20
165.0,GAS_3,Wed-20
158.0,GAS_4,Wed-20
400.0,COAL_1,Wed-21
457.0,COAL_2,Wed-21
90.0,DIESEL_1,Wed-21
87.0,DIESEL_2,Wed-21
0.0,DIESEL_3,Wed-21
0.0,DIESEL_4,Wed-21
0.0,GAS_1,Wed-21
0.0,GAS_2,Wed-21
165.0,GAS_3,Wed-21
158.0,GAS_4,Wed-21
400.0,COAL_1,Wed-22
435.0,COAL_2,Wed-22
90.0,DIESEL_1,Wed-22
87.0,DIESEL_2,Wed-22
0.0,DIESEL_3,Wed-22
0.0,DIESEL_4,Wed-22
0.0,GAS_1,Wed-22
0.0,GAS_2,Wed-22
165.0,GAS_3,Wed-22
158.0,GAS_4,Wed-22
400.0,COAL_1,Wed-23
411.0,COAL_2,Wed-23
90.0,DIESEL_1,Wed-23
87.0,DIESEL_2,Wed-23
0.0,DIESEL_3,Wed-23
0.0,DIESEL_4,Wed-23
0.0,GAS_1,Wed-23
0.0,GAS_2,Wed-23
165.0,GAS_3,Wed-23
158.0,GAS_4,Wed-23
400.0,COAL_1,Thu-00
389.0,COAL_2,Thu-00
90.0,DIESEL_1,Thu-00
87.0,DIESEL_2,Thu-00
0.0,DIESEL_3,Thu-00
0.0,DIESEL_4,Thu-00
0.0,GAS_1,Thu-00
0.0,GAS_2,Thu-00
165.0,GAS_3,Thu-00
158.0,GAS_4,Thu-00
400.0,COAL_1,Thu-01
377.0,COAL_2,Thu-01
90.0,DIESEL_1,Thu-01
87.0,DIESEL_2,Thu-01
0.0,DIESEL_3,Thu-01
0.0,DIESEL_4,Thu-01
0.0,GAS_1,Thu-01
0.0,GAS_2,Thu-01
165.0,GAS_3,Thu-01
158.0,GAS_4,Thu-01
400.0,COAL_1,Thu-02
365.0,COAL_2,Thu-02
90.0,DIESEL_1,Thu-02
87.0,DIESEL_2,Thu-02
0.0,DIESEL_3,Thu-02
0.0,DIESEL_4,Thu-02
0.0,GAS_1,Thu-02
0.0,GAS_2,Thu-02
165.0,GAS_3,Thu-02
158.0,GAS_4,Thu-02
400.0,COAL_1,Thu-03
355.0,COAL_2,Thu-03
90.0,DIESEL_1,Thu-03
87.0,DIESEL_2,Thu-03
0.0,DIESEL_3,Thu-03
0.0,DIESEL_4,Thu-03
0.0,GAS_1,Thu-03
0.0,GAS_2,Thu-03
165.0,GAS_3,Thu-03
158.0,GAS_4,Thu-03
400.0,COAL_1,Thu-04
358.0,COAL_2,Thu-04
90.0,DIESEL_1,Thu-04
87.0,DIESEL_2,Thu-04
0.0,DIESEL_3,Thu-04
0.0,DIESEL_4,Thu-04
0.0,GAS_1,Thu-04
0.0,GAS_2,Thu-04
165.0,GAS_3,Thu-04
158.0,GAS_4,Thu-04
400.0,COAL_1,Thu-05
386.0,COAL_2,Thu-05
90.0,DIESEL_1,Thu-05
87.0,DIESEL_2,Thu-05
0.0,DIESEL_3,Thu-05
0.0,DIESEL_4,Thu-05
0.0,GAS_1,Thu-05
0.0,GAS_2,Thu-05
165.0,GAS_3,Thu-05
158.0,GAS_4,Thu-05
400.0,COAL_1,Thu-06
429.0,COAL_2,Thu-06
90.0,DIESEL_1,Thu-06
87.0,DIESEL_2,Thu-06
0.0,DIESEL_3,Thu-06
0.0,DIESEL_4,Thu-06
0.0,GAS_1,Thu-06
0.0,GAS_2,Thu-06
165.0,GAS_3,Thu-06
158.0,GAS_4,Thu-06
400.0,COAL_1,Thu-07
462.0,COAL_2,Thu-07
90.0,DIESEL_1,Thu-07
87.0,DIESEL_2,Thu-07
0.0,DIESEL_3,Thu-07
0.0,DIESEL_4,Thu-07
0.0,GAS_1,Thu-07
0.0,GAS_2,Thu-07
165.0,GAS_3,Thu-07
158.0,GAS_4,Thu-07
400.0,COAL_1,Thu-08
496.0,COAL_2,Thu-08
90.0,DIESEL_1,Thu-08
87.0,DIESEL_2,Thu-08
0.0,DIESEL_3,Thu-08
0.0,DIESEL_4,Thu-08
0.0,GAS_1,Thu-08
0.0,GAS_2,Thu-08
165.0,GAS_3,Thu-08
158.0,GAS_4,Thu-08
400.0,COAL_1,Thu-09
520.0,COAL_2,Thu-09
90.0,DIESEL_1,Thu-09
87.0,DIESEL_2,Thu-09
0.0,DIESEL_3,Thu-09
0.0,DIESEL_4,Thu-09
0.0,GAS_1,Thu-09
0.0,GAS_2,Thu-09
165.0,GAS_3,Thu-09
158.0,GAS_4,Thu-09
400.0,COAL_1,Thu-10
539.0,COAL_2,Thu-10
90.0,DIESEL_1,Thu-10
87.0,DIESEL_2,Thu-10
0.0,DIESEL_3,Thu-10
0.0,DIESEL_4,Thu-10
0.0,GAS_1,Thu-10
0.0,GAS_2,Thu-10
165.0,GAS_3,Thu-10
158.0,GAS_4,Thu-10
